x_m,y_m,w_tr_right_m,w_tr_left_m
-4.6184564352056805,-0.9762140645732016,0.5097191922552753,0.5097191922552753
-4.592622236379179,-0.8796515239681136,0.5222382715678713,0.5222382715678713
-4.545954570102968,-0.7228362038624354,0.5314742914412811,0.5314742914412811
-4.4755774610851695,-0.5448104938341528,0.5152527965938657,0.5152527965938657
-4.403048503581571,-0.3886528939773044,0.497055441556504,0.497055441556504
-4.319959030578986,-0.24264211444297462,0.47531290563117484,0.47531290563117484
-4.21788336220238,-0.1090960895519349,0.44066836045842606,0.44066836045842606
-4.109558022283301,0.02456037760759298,0.4147916902935206,0.4147916902935206
-3.998707751922734,0.15404590775997803,0.39020854335309635,0.39020854335309635
-3.890182699490222,0.2929384891744235,0.376645520788074,0.376645520788074
-3.786795195620985,0.4390598782856212,0.38230190473005426,0.38230190473005426
-3.6737577719790675,0.5902732028529984,0.3839689168761992,0.3839689168761992
-3.561989975108928,0.7399476345074268,0.3799609229488738,0.3799609229488738
-3.4550244826619356,0.8945543626556948,0.3828737531204328,0.3828737531204328
-3.3446763261329995,1.0390436514848456,0.3831054177876118,0.3831054177876118
-3.226844050187204,1.1862174341595286,0.3829375772379189,0.3829375772379189
-3.097970590594981,1.333590926244988,0.38381817222516523,0.38381817222516523
-2.961341204736177,1.4758960130745806,0.38856122613023925,0.38856122613023925
-2.8195071118824706,1.6119146008831402,0.3984739967167612,0.3984739967167612
-2.6750699851218775,1.7314899022286956,0.41835570660012245,0.41835570660012245
-2.5201760981753623,1.8392038491795768,0.44841338605936093,0.44841338605936093
-2.3636182490791593,1.943605712691126,0.480133763514085,0.480133763514085
-2.201476456891244,2.0245917182842974,0.5045345424433464,0.5045345424433464
-2.0513214165008886,2.099346408092866,0.5131056969006186,0.5131056969006186
-1.9074417250998679,2.184947477599393,0.5047144975273777,0.5047144975273777
-1.76178520278826,2.2782885749237374,0.48125956055845154,0.48125956055845154
-1.6093788049662408,2.369070998004203,0.46216003102631475,0.46216003102631475
-1.4409433440121544,2.416992483650922,0.44906788882559545,0.44906788882559545
-1.2810869259354134,2.4039207299310865,0.4363801408360206,0.4363801408360206
-1.1360320669337574,2.3646566294804297,0.41300750043659407,0.41300750043659407
-0.990961974279595,2.3134699280867608,0.3801975659116323,0.3801975659116323
-0.8412759831328178,2.2598898819832343,0.34738633171439975,0.34738633171439975
-0.6954004799943201,2.196446753964606,0.33257159972186423,0.33257159972186423
-0.5575088048412286,2.1121787355547976,0.34386267559128636,0.34386267559128636
-0.4213047977317335,2.0063402177534733,0.374753563141732,0.374753563141732
-0.27889345230334234,1.8829013078174412,0.413369916959555,0.413369916959555
-0.13345110193411974,1.7478890173345414,0.448753287181357,0.448753287181357
-0.03116584163623648,1.6557393685965367,0.4650647693418971,0.4650647693418971
0.0700559067505887,1.5669804383337373,0.4661587144910301,0.4661587144910301
0.17407213766901272,1.4756187152623792,0.4638050944415975,0.4638050944415975
0.2668789782682211,1.3790061701607226,0.45549598787870443,0.45549598787870443
0.3876494117178815,1.22426426038985,0.454379289194714,0.454379289194714
0.4859417019354075,1.0620777957319203,0.4664413425666152,0.4664413425666152
0.5681874826572025,0.902704450150208,0.4923264051612848,0.4923264051612848
0.6484525053115023,0.7531896603616315,0.5311890648843024,0.5311890648843024
0.7282334435805955,0.603453050379033,0.5780829466373335,0.5780829466373335
0.7911205043315053,0.44518244064698387,0.622927444690778,0.622927444690778
0.8141999984081257,0.28393736715276907,0.6417436822714467,0.6417436822714467
0.8046362860804392,0.1304984195923274,0.6369366966133094,0.6369366966133094
0.78458707638847,-0.018334034928303218,0.6097185215050559,0.6097185215050559
0.7629809008672523,-0.16765820762507094,0.572998646704493,0.572998646704493
0.7451169632217307,-0.3184063199796848,0.5368834656925113,0.5368834656925113
0.7343823262243752,-0.4691998549695765,0.5116959335660548,0.5116959335660548
0.7157796924150513,-0.6184371342618041,0.504822347724428,0.504822347724428
0.7003618739728892,-0.7689319108813026,0.5138398949068861,0.5138398949068861
0.676188626112934,-0.9173934305689824,0.5274983170877202,0.5274983170877202
0.6248153480979419,-1.0595798164948507,0.5476469922781974,0.5476469922781974
0.5470943666469544,-1.199835539973738,0.5808975069808817,0.5808975069808817
